Name,Price,Image,Lab,Active,URL,Pharmacy
PROCORALAN 7.5mg x 56 COMPRIMIDOS,"₡ 43.230,00 i.v.a.i.",https://app.farmacialabomba.com/Images/Upload/1/2/99000300.jpg,,IVABRADINA,https://www.farmacialabomba.com/detalle-producto/PROCORALAN-7-5MG-X-56-COMPRIMIDOS-8770047,labomba
CORN CUSHION ESPONJA PARA CALLOS,"₡ 1.120,00 i.v.a.i.",https://farmacias.fischelenlinea.com/Images/Upload/1/2/ad0df42bimg-fischel-default-650x450.png,,SIN ASIGNAR,https://www.fischelenlinea.com/detalle-producto/-CORN-CUSHION-ESPONJA-PARA-CALLOS-7544206,fishel
AMOEBRIZ TABLETAS 450 MG,"₡11,343.42",https://sucreenlinea.com/media/catalog/product/cache/9047563d1f34e7daee3f925fb9ec1291/0/0/00206-0010100_01_2.png,JANSSEN-CILAG,MEBENDAZOL+QUINFAMIDA,https://sucreenlinea.com/0010100-amoebriz-x-2-tabs.html,sucre
BENICAR HCT 20MG/12.5MG TABLETAS VIA ORAL,"₡ 38.419,78 i.v.a.i.",https://app.farmacialabomba.com/Images/Upload/1/2/99090546.jpg,,HIDROCLOROTIAZIDA + OLMESARTAN,https://www.farmacialabomba.com/detalle-producto/BENICAR-HCT-20MG-12-5MG-TABLETAS-VIA-ORAL-6552700,labomba
DESLORATADINA MK 5MG 10 TABLETAS,"₡ 6.950,39 i.v.a.i.",https://farmacias.fischelenlinea.com/Images/Upload/1/2/65a7133Captura_de_pantalla_2024-12-12_085026-removebg-preview.png,,DESLORATADINA,https://www.fischelenlinea.com/detalle-producto/-DESLORATADINA-MK-5MG-10-TABLETAS-6652800,fishel
,,,,,https://sucreenlinea.com/0012400-gyno-daktarin-dual-1-dia-otc.html,sucre
,,,,,https://www.farmacialabomba.com/detalle-producto/FLEXOFYTOL-60-CAPSULAS-1991499,labomba
226ERS BARRA ENERGÉTICA CHOCOLATE OSCURO 60 GR,"₡ 2.430,00 i.v.a.i.",https://farmacias.fischelenlinea.com/Images/Upload/1/2/28d9e1f01880036_650-x-450px.jpg,,"Dátiles, higos secos, almendras, arroz en hojuelas, cacao desgrasado en polvo 6%, pasas uvas pasas, aceite algodón, arroz inflado harina arroz, azúcar, sal, trozos de cacao tostado2%, amilopectina de maíz, aminoácidos ramificados 1.5%1.2% L-leucina, 0.15% L-valina, 0.15% L-isoleucina, jarabe arroz, complejo vitamínico B1, B12, B2, B3, B5, B6, B9, C, E, antioxidante: extracto de romero.",https://www.fischelenlinea.com/detalle-producto/226ERS-BARRA-ENERGETICA-CHOCOLATE-OSCURO-60-GR-1880036,fishel
,,,,,https://sucreenlinea.com/0012500-gyno-daktarin-dual-3-dias-otc.html,sucre
LOSARAVEN 50 H 50 mg / 12.5 mg  CAJA x 30 TABLETAS,"₡ 11.016,00 i.v.a.i.",https://app.farmacialabomba.com/Images/Upload/1/2/6a222a82Losa-raven-50-h-02.png,,HIDROCLOROTIAZIDA,https://www.farmacialabomba.com/detalle-producto/LOSA-RAVEN-50-H-50-MG-12-5-MG-CAJA-X-30-TABLETAS-6154020,labomba
226ERS BARRA FRESA TROZOS CHOCOLATE BLANCO 60 GR,"₡ 2.266,78 i.v.a.i.",https://farmacias.fischelenlinea.com/Images/Upload/1/2/f4009c2e1180067_650-x-450px.jpg,,"Dátiles, higos secos, pepitas de chocolate blanco 10% azúcar, manteca cacao, lactosa, leche en polvo, leche desnatada en polvo, emulgente: lecitina girasol, aroma vainillina, arroz en hojuelas, fresa en polvo 6%fresa, maltodextrina, almendras, arroz inflado harina arroz, azúcar, sal, amilopectina de maíz, jarabe de arroz, aroma natural de fresa, complejo vitamínico B1, B12, B2, B3, B5, B6, B9, C, E, antioxidante: extracto de romero.",https://www.fischelenlinea.com/detalle-producto/226ERS-BARRA-FRESA-TROZOS-CHOCOLATE-BLANCO-60-GR-1180067,fishel
,,,,,https://sucreenlinea.com/0013500-motilium-10-mg-x-30-tabs.html,sucre
ENSURE FRESA 850 GR,"₡ 25.714,52 i.v.a.i.",https://app.farmacialabomba.com/Images/Upload/1/2/ac179bc87234072.png,,N/A,https://www.farmacialabomba.com/detalle-producto/ENSURE-NG-FRESA-850-GR-7234072,labomba
226ERS BARRA VEGANA CEREZA/COLA 30 GR,"₡ 2.359,44 i.v.a.i.",https://farmacias.fischelenlinea.com/Images/Upload/1/2/3cc5e1991882221-GOM-226ERS-VEGANAS-CEREZA-COLA-30G.png,,"Azúcar dorado ecológico, jarabe de polidextrosa, jarabe de arroz ecológico, agua, espesante: pectina [pectina, corrector de acidez: ácido cítrico y polifosfato, maltodextrina], L-taurina, corrector de acidez: ácido cítrico, aromas, cafeína, extracto de zanahoria y grosella [zanahoria, grosella negra, corrector de acidez: ácido cítrico, agua], aceite de recubrimiento [aceite de coco, agente de recubrimiento: cera de carnauba], almidón de maíz",https://www.fischelenlinea.com/detalle-producto/226ERS-BARRA-VEGANA-CEREZA-COLA-30-GR-1882221,fishel
